Unnamed: 0,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
60472,3,319.68,24.2523,6.34187,3.81991,324.0,314.0,100001,0,5,1
60492,3,318.88,26.778,8.53759,3.44287,324.0,314.0,100001,0,5,1
60592,3,314.88,17.47596,39.81613,1.07735,324.0,314.0,100001,0,3,7
60086,3,323.52,65.76417,11.6801,0.52528,324.0,314.0,100001,0,13,2
60370,3,323.76,71.48874,11.53501,3.69701,324.0,314.0,100001,0,15,2
60402,3,322.48,47.45657,11.22082,4.21038,324.0,314.0,100001,0,10,2
60279,3,321.6,33.58606,11.81936,3.71656,324.0,314.0,100001,0,7,2
60290,3,321.16,25.71073,10.92776,1.40886,324.0,314.0,100001,0,5,2
60523,3,317.64,31.81404,16.95967,2.63134,324.0,314.0,100001,0,6,3
60306,3,320.52,20.18518,9.89442,2.8462,324.0,314.0,100001,0,4,1
60461,3,320.12,22.47725,8.14388,0.83343,324.0,314.0,100001,0,4,1
60296,3,320.92,23.3789,10.5367,3.66355,324.0,314.0,100001,0,4,2
60506,3,318.32,29.57366,9.80496,3.42104,324.0,314.0,100001,0,6,1
60373,3,323.64,68.52957,11.64298,2.42457,324.0,314.0,100001,0,14,2
60105,3,322.76,51.60407,11.79428,0.34135,324.0,314.0,100001,0,10,2
60302,3,320.68,20.62342,10.2176,0.64347,324.0,314.0,100001,0,4,2
60451,3,320.52,20.18518,9.89442,2.8462,324.0,314.0,100001,0,4,1
60426,3,321.52,32.2761,11.79494,3.9649,324.0,314.0,100001,0,6,2
60608,3,314.24,21.50525,38.2562,3.37656,324.0,314.0,100001,0,4,7
60315,3,320.16,22.17751,8.45132,0.93051,324.0,314.0,100001,0,4,1
60338,3,319.24,26.01356,7.20246,2.39625,324.0,314.0,100001,0,5,1
60212,3,318.48,28.98065,9.38498,2.91893,324.0,314.0,100001,0,6,1
60440,3,320.96,23.8439,10.52545,3.68377,324.0,314.0,100001,0,5,2
60292,3,321.08,25.08787,10.72236,2.90116,324.0,314.0,100001,0,5,2
60176,3,319.92,23.52096,6.80268,2.58338,324.0,314.0,100001,0,5,1
60109,3,322.6,49.32329,11.91552,2.17592,324.0,314.0,100001,0,10,2
60236,3,323.32,63.36655,11.91939,3.17353,324.0,314.0,100001,0,13,2
60295,3,320.96,23.8439,10.52545,3.68377,324.0,314.0,100001,0,5,2
60087,3,323.48,65.25894,11.70578,1.23412,324.0,314.0,100001,0,13,2
60189,3,319.4,25.47422,7.13621,0.43638,324.0,314.0,100001,0,5,1
60614,3,314.0,23.10135,37.73323,2.84433,324.0,314.0,100001,0,4,7
60521,3,317.72,31.75083,16.08789,2.03316,324.0,314.0,100001,0,6,3
60213,3,318.44,29.06944,9.35736,3.2202,324.0,314.0,100001,0,6,1
60261,3,322.32,45.07127,11.33689,4.60282,324.0,314.0,100001,0,9,2
60273,3,321.84,36.55439,12.02691,0.59181,324.0,314.0,100001,0,7,2
60461,3,320.12,22.47725,8.14388,0.83343,324.0,314.0,100001,0,4,1
60266,3,322.12,41.59742,11.73201,4.33306,324.0,314.0,100001,0,8,2
60540,3,316.96,27.53376,25.81836,2.17207,324.0,314.0,100001,0,5,5
60435,3,321.16,25.71073,10.92776,1.40886,324.0,314.0,100001,0,5,2
60490,3,318.96,26.75083,7.91264,3.74522,324.0,314.0,100001,0,5,1
60226,3,323.72,70.53236,11.42145,3.57392,324.0,314.0,100001,0,15,2
60304,3,320.6,20.33753,9.95924,2.10048,324.0,314.0,100001,0,4,1
60210,3,318.56,28.55613,9.21967,2.33121,324.0,314.0,100001,0,6,1
60253,3,322.64,49.87093,11.5327,2.35323,324.0,314.0,100001,0,10,2
60391,3,322.92,56.3736,11.88354,2.57215,324.0,314.0,100001,0,11,2
