run_id,profile,scope,config_id,design,varied_parameter,varied_value,n_bootstraps,possessions_per_bootstrap,samples_per_possession,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,p_value,reject_qut,error,simulation_tag,run_seed
high_y_side__quarter_4__config_00,high_y_side,quarter_4,0,baseline,,,100,1000,200,230,ok,38.563188099999934,15.413344618426004,90.8071780303675,81.04420995288876,102.17708206900603,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
high_y_side__full_game__config_01,high_y_side,full_game,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,920,ok,21.6536873,17.753616617430502,93.95595871759484,85.0924417942904,104.1596294333104,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
high_y_side__quarter_1__config_01,high_y_side,quarter_1,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,11.656440599999996,17.44412940307367,98.15544902646904,93.91251070588967,116.31100501920632,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
high_y_side__quarter_2__config_01,high_y_side,quarter_2,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,20.93699989999982,15.842005013390018,105.75871583273135,94.39560031542166,108.03807126099696,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
high_y_side__quarter_3__config_01,high_y_side,quarter_3,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,12.348043699999836,15.735832548483495,76.11887285799433,70.43412618888944,85.27679104074932,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
high_y_side__quarter_4__config_01,high_y_side,quarter_4,1,one_factor_sweep,n_bootstraps,10.0,10,1000,200,230,ok,17.357299099999864,15.794248859382396,97.60055416517164,87.44980937731998,97.08118969053868,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,143
high_y_side__full_game__config_02,high_y_side,full_game,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,920,ok,27.22065889999999,16.563079760731505,95.56581996712636,81.56714827224415,104.75688957210322,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
high_y_side__quarter_1__config_02,high_y_side,quarter_1,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,230,ok,24.67959440000004,18.525285743762332,99.804340544272,95.86059236528295,110.96908429449704,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
high_y_side__quarter_2__config_02,high_y_side,quarter_2,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,230,ok,21.102100800000017,17.6222698960217,101.94185151868145,90.74535189406468,111.17274186836416,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
high_y_side__quarter_3__config_02,high_y_side,quarter_3,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,230,ok,17.923833699999932,15.808606006004414,68.36412681497217,65.95981809761162,86.42240713551426,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
high_y_side__quarter_4__config_02,high_y_side,quarter_4,2,one_factor_sweep,n_bootstraps,50.0,50,1000,200,230,ok,15.543362099999968,17.016792985559217,90.47029429447296,81.05871174216557,101.46682627957938,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,144
high_y_side__full_game__config_03,high_y_side,full_game,3,one_factor_sweep,n_bootstraps,500.0,500,1000,200,920,ok,124.13666220000005,16.626815807329056,99.34116213523424,83.12267042547457,102.2901584759684,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,145
high_y_side__quarter_1__config_03,high_y_side,quarter_1,3,one_factor_sweep,n_bootstraps,500.0,500,1000,200,230,ok,137.27718890000006,16.318948332806453,101.77288761347523,93.42418953232604,113.0001213494088,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,145
high_y_side__quarter_2__config_03,high_y_side,quarter_2,3,one_factor_sweep,n_bootstraps,500.0,500,1000,200,230,ok,122.27532470000006,16.96120713380788,97.15861081439722,92.76874114176591,111.752522836715,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,145
high_y_side__quarter_3__config_03,high_y_side,quarter_3,3,one_factor_sweep,n_bootstraps,500.0,500,1000,200,230,ok,124.36369130000004,18.423261136841813,72.90387121347503,67.56389934244008,87.19407622088359,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,145
high_y_side__quarter_4__config_03,high_y_side,quarter_4,3,one_factor_sweep,n_bootstraps,500.0,500,1000,200,230,ok,172.31059189999996,17.993442872257337,81.33452430276785,82.44753047523807,102.99190966793412,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,145
high_y_side__full_game__config_04,high_y_side,full_game,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,920,ok,19.055046200000103,5.652230003951274,10.676744594499183,6.83361021828047,12.232285210369191,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
high_y_side__quarter_1__config_04,high_y_side,quarter_1,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,9.02718969999978,5.086299438828887,9.552633091239173,7.648490467304278,13.423233185597196,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
high_y_side__quarter_2__config_04,high_y_side,quarter_2,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,9.04347000000007,5.520198446488188,9.86321085535695,7.681304423473511,12.863631943103046,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
high_y_side__quarter_3__config_04,high_y_side,quarter_3,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,9.574349499999698,5.0034870277249786,7.018846115177658,5.4964286135081775,11.69239157036472,0.01,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
high_y_side__quarter_4__config_04,high_y_side,quarter_4,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,12.40106569999989,5.151629085276867,12.389642508771429,6.037056714199593,13.089185033802837,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
high_y_side__full_game__config_05,high_y_side,full_game,5,one_factor_sweep,possessions_per_bootstrap,10000.0,100,10000,200,920,ok,132.97487629999978,48.88483423395024,930.9642128432648,902.6691031865558,962.3385470716652,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,147
high_y_side__quarter_1__config_05,high_y_side,quarter_1,5,one_factor_sweep,possessions_per_bootstrap,10000.0,100,10000,200,230,ok,131.87368509999988,58.51599740957057,1042.418147761981,997.6257790912292,1068.7909271125166,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,147
