run_id,profile,scope,config_id,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,lambda_qut,map_status,spatial_correlation,standardized_rmse,recovered_dynamic_range,error
perimeter__quarter_1__config_05,perimeter,quarter_1,5,one_factor_sweep,100,10000,200,48.55677200294702,ok,0.6036707110804219,0.9001174933979008,0.6578108072280884,
perimeter__quarter_2__config_05,perimeter,quarter_2,5,one_factor_sweep,100,10000,200,44.24386584600791,ok,0.816136654672664,0.6224907553054382,0.6881736561655998,
perimeter__quarter_3__config_05,perimeter,quarter_3,5,one_factor_sweep,100,10000,200,45.959476142622016,ok,0.7118131310502288,0.7863857332277725,0.6616840973496437,
perimeter__quarter_4__config_05,perimeter,quarter_4,5,one_factor_sweep,100,10000,200,47.34415450816175,ok,0.8125535224989952,0.6228241610495148,0.5230746895074843,
perimeter__full_game__config_06,perimeter,full_game,6,one_factor_sweep,100,1000,50,10.784529387234937,ok,0.8132323721431219,0.6339727978366767,0.2939509451389313,
perimeter__quarter_1__config_06,perimeter,quarter_1,6,one_factor_sweep,100,1000,50,11.510009362412967,ok,0.7051392731109322,0.7912008787518497,0.26566124707460403,
perimeter__quarter_2__config_06,perimeter,quarter_2,6,one_factor_sweep,100,1000,50,10.775680828113916,ok,0.7671787916245271,0.7013564656450677,0.3236958086490631,
perimeter__quarter_3__config_06,perimeter,quarter_3,6,one_factor_sweep,100,1000,50,11.67803068689446,ok,0.7485893557492388,0.7179434862146289,0.2756896913051605,
perimeter__quarter_4__config_06,perimeter,quarter_4,6,one_factor_sweep,100,1000,50,10.284310304644084,ok,0.8502196930084653,0.5536617222864816,0.4193993732333183,
perimeter__full_game__config_07,perimeter,full_game,7,one_factor_sweep,100,1000,100,12.81950010656361,ok,0.9041934156732694,0.44613149534561813,0.34493543952703476,
perimeter__quarter_1__config_07,perimeter,quarter_1,7,one_factor_sweep,100,1000,100,13.61567832639512,ok,0.7232053616866329,0.7926893115303777,0.3414188250899315,
perimeter__quarter_2__config_07,perimeter,quarter_2,7,one_factor_sweep,100,1000,100,12.700189291208495,ok,0.765136480317106,0.7122630709142231,0.2544597089290619,
perimeter__quarter_3__config_07,perimeter,quarter_3,7,one_factor_sweep,100,1000,100,13.35940664071324,ok,0.7582855929149124,0.7114128380844505,0.2847914770245552,
perimeter__quarter_4__config_07,perimeter,quarter_4,7,one_factor_sweep,100,1000,100,12.356229195630446,ok,0.8537651146060375,0.541410781168092,0.3916960656642914,
perimeter__full_game__config_08,perimeter,full_game,8,one_factor_sweep,100,1000,150,14.259077394310967,ok,0.83850465446984,0.5688267147574888,0.2708262763917446,
perimeter__quarter_1__config_08,perimeter,quarter_1,8,one_factor_sweep,100,1000,150,14.350713540634509,ok,0.731232182991148,0.7700532057840894,0.2582662105560303,
perimeter__quarter_2__config_08,perimeter,quarter_2,8,one_factor_sweep,100,1000,150,12.519961152067587,ok,0.8582684625417809,0.5440540348794167,0.3082460962235928,
